Zafra-Semana,Ingenio,Zafra,Semana,CAÑA CONTRATADA CORTE MANUAL (TON),CAÑA CONTRATADA COSECHA MEC (TON),CAÑA DE OTROS INGENIOS (TON),CAÑA LIBRE (NO CONTRATADA) (TON),CAÑA MOLIDA BRUTA TOTAL (TON),CAÑA UTILIZADA PARA SEMILLA (TON),CAÑA ENVIADA A OTROS INGENIOS (TON),CAÑA DESTINADA A OTROS FINES (TON),TOTAL CAÑA COSECHADA (TON),TOTAL CAÑA COSECHADA (HA),CAÑA MOLIDA NO PROGRAMADA (TON)
202039,Tala,2020,39,1923073.59,176464.59,0,0,2099538.18,37158.59,0,65558.95,2202255.72,22589,247440.04
202040,Tala,2020,40,1923073.59,176464.59,0,0,2099538.18,37158.59,0,65558.95,2202255.72,22589,247440.04
202010,Tamazula,2020,10,36929.804,40175.956,0,0,77105.76,0,0,0,77105.76,749.627,0
202011,Tamazula,2020,11,64818.108,67658.942,0,0,132477.05,0,0,0,132477.05,1154.432,0
202012,Tamazula,2020,12,96509.46,95552.36,0,0,192061.82,0,0,0,192061.82,1512.704,0
202013,Tamazula,2020,13,124888.389,129730.311,0,0,254618.7,0,0,0,254618.7,2034.602,0
202015,Tamazula,2020,15,141767.653,169627.097,0,0,311394.75,0,0,0,311394.75,2831.556,0
202016,Tamazula,2020,16,171248.745,192076.765,0,0,363325.51,0,0,0,363325.51,3322.962,0
202017,Tamazula,2020,17,202740.863,217773.377,0,0,420514.24,0,0,0,420514.24,3870.677,0
202018,Tamazula,2020,18,233998.688,243045.782,0,0,477044.47,0,0,0,477044.47,4219.388,0
202019,Tamazula,2020,19,262677.33,267570.32,0,0,530247.65,0,0,0,530247.65,4737.345,0
202020,Tamazula,2020,20,274236.362,276278.558,0,0,550514.92,0,0,0,550514.92,5288.599,0
202021,Tamazula,2020,21,308048.555,303433.175,0,0,611481.73,0,0,0,611481.73,5898.931,0
202022,Tamazula,2020,22,339112.034,330118.166,0,0,669230.2,0,0,0,669230.2,6456.516,0
202023,Tamazula,2020,23,372431.515,357441.305,0,0,729872.82,0,0,0,729872.82,7043.749,0
202024,Tamazula,2020,24,401483.502,380287.328,0,0,781770.83,0,0,0,781770.83,7466.265,0
202025,Tamazula,2020,25,427235.188,401588.732,0,0,828823.92,0,0,0,828823.92,7974.628,0
202026,Tamazula,2020,26,459870.09,429280.47,0,0,889150.56,0,0,0,889150.56,8567.611,0
202027,Tamazula,2020,27,486992.224,453358.256,0,0,940350.48,0,0,0,940350.48,9195.422,0
202028,Tamazula,2020,28,517699.239,480418.971,0,0,998118.21,0,0,0,998118.21,9608.106,0
202029,Tamazula,2020,29,547581.178,506393.212,0,0,1053974.39,0,0,0,1053974.39,10184.382,0
202030,Tamazula,2020,30,580638.073,534921.157,0,0,1115559.23,0,0,0,1115559.23,10863.036,0
202031,Tamazula,2020,31,609912.199,554856.341,0,0,1164768.54,0,0,0,1164768.54,11462.666,0
202032,Tamazula,2020,32,639710.049,579985.411,0,0,1219695.46,0,0,0,1219695.46,11899.585,0
202033,Tamazula,2020,33,672384.199,604428.901,0,0,1276813.1,0,0,0,1276813.1,12487.836,0
202034,Tamazula,2020,34,702944.894,633396.616,0,0,1336341.51,0,0,0,1336341.51,13085.662,0
202035,Tamazula,2020,35,729295.354,654242.976,0,0,1383538.33,0,0,0,1383538.33,13673.275,0
202036,Tamazula,2020,36,756797.671,674731.859,0,0,1431529.53,0,0,0,1431529.53,14288.785,0
202037,Tamazula,2020,37,789401.169,696729.611,0,0,1486130.78,0,0,0,1486130.78,14678.831,0
202038,Tamazula,2020,38,842136.057,696889.883,0,0,1539025.94,0,0,0,1539025.94,14636.31,0
202039,Tamazula,2020,39,842136.057,696889.883,0,0,1539025.94,0,0,0,1539025.94,0,0
202040,Tamazula,2020,40,842136.057,696889.883,0,0,1539025.94,0,0,0,1539025.94,0,0
202015,Lázaro Cárdenas,2020,15,56798.542,1920.548,0,0,58719.09,74.55,0,0,58793.64,708.662,0
202016,Lázaro Cárdenas,2020,16,72457.412,2339.208,0,0,74796.62,219.32,0,0,75015.94,889.836,0
202017,Lázaro Cárdenas,2020,17,88065.512,2339.208,0,0,90404.72,276.82,0,0,90681.54,1100.513,0
202018,Lázaro Cárdenas,2020,18,103030.092,2993.968,0,0,106024.06,276.82,0,0,106300.88,1308.477,0
202019,Lázaro Cárdenas,2020,19,118796.722,3555.998,0,0,122352.72,603.37,0,0,122956.09,1530.982,0
202020,Lázaro Cárdenas,2020,20,127428.193,3639.487,0,0,131067.68,1272.96,0,0,132340.64,1653.363,0
202021,Lázaro Cárdenas,2020,21,141861.143,3639.487,0,0,145500.63,1272.96,0,0,146773.59,1852.242,0
202022,Lázaro Cárdenas,2020,22,156952.963,3639.487,0,0,160592.45,1272.96,0,0,161865.41,2092.886,0
202023,Lázaro Cárdenas,2020,23,171365.503,4138.267,0,0,175503.77,1277.16,0,0,176780.93,2283.196,0
202024,Lázaro Cárdenas,2020,24,185884.313,4820.487,0,0,190704.8,1301.16,0,0,192005.96,2496.616,0
202025,Lázaro Cárdenas,2020,25,200932.273,5421.237,0,0,206353.51,1301.16,0,0,207654.67,2700.745,0
202026,Lázaro Cárdenas,2020,26,213835.073,6008.167,0,0,219843.24,1354.33,0,0,221197.57,2898.659,0
202027,Lázaro Cárdenas,2020,27,227451.773,6673.867,0,0,234125.64,1592.47,0,0,235718.11,3113.582,0
202012,Santa Clara,2020,12,14617,12563,0,0,27180,0,0,0,27180,0,0
202013,Santa Clara,2020,13,31935.5,25454.5,0,0,57390,0,0,0,57390,1104.919,0
202015,Santa Clara,2020,15,49412.29,31792.5,0,0,81204.79,0,0,0,81204.79,926.506,0
202016,Santa Clara,2020,16,68801.71,44358.08,0,0,113159.79,0,0,0,113159.79,1226.93,0
202017,Santa Clara,2020,17,87402.83,54251.49,0,0,141654.32,0,0,0,141654.32,1533.119,0
202018,Santa Clara,2020,18,106074.07,66810.25,0,0,172884.32,1472,0,0,174356.32,1903.078,0
202019,Santa Clara,2020,19,125740.17,78579.15,0,0,204319.32,1512,0,0,205831.32,2248.352,0
202020,Santa Clara,2020,20,131947.62,81931.7,0,0,213879.32,2115,0,0,215994.32,2350.557,0
202021,Santa Clara,2020,21,139709.11,86080.21,0,0,225789.32,3065,0,0,228854.32,2482.156,0
202022,Santa Clara,2020,22,161606.77,95892.55,0,0,257499.32,3415,0,0,260914.32,2828.949,0
202023,Santa Clara,2020,23,180226.63,107882.69,0,0,288109.32,3415,0,0,291524.32,3134.763,0
202024,Santa Clara,2020,24,197905.51,118473.81,0,0,316379.32,6530.5,0,0,322909.82,3459.79,0
202025,Santa Clara,2020,25,218359.81,127319.51,0,0,345679.32,6530.5,0,0,352209.82,3824.198,0
202026,Santa Clara,2020,26,239284.93,135955.67,0,0,375240.6,6994.5,0,0,382235.1,4144.026,0
202027,Santa Clara,2020,27,256408.6,146482,0,0,402890.6,6994.5,0,0,409885.1,4450.648,0
202028,Santa Clara,2020,28,275922.04,157813.56,0,0,433735.6,7991.5,0,0,441727.1,4840.476,0
202029,Santa Clara,2020,29,295789.38,168976.22,0,0,464765.6,8555,0,0,473320.6,5226.513,0
202030,Santa Clara,2020,30,312840.32,181455.28,0,0,494295.6,9089,0,0,503384.6,5585.191,0
202031,Santa Clara,2020,31,328497.15,194808.45,0,0,523305.6,10430,0,0,533735.6,5953.903,0
202032,Santa Clara,2020,32,343160.03,207359.07,0,0,550519.1,10430,0,0,560949.1,6436.819,0
202033,Santa Clara,2020,33,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
202034,Santa Clara,2020,34,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
202035,Santa Clara,2020,35,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
202036,Santa Clara,2020,36,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
202037,Santa Clara,2020,37,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
202038,Santa Clara,2020,38,446133.6,284193.15,0,245686.26,976013.01,15775.891,0,81184.3,1072973.201,19286.769,0
202039,Santa Clara,2020,39,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
202040,Santa Clara,2020,40,343160.03,207359.07,0,0,550519.1,14789.6,0,0,565308.7,6622.444,0
20209,Central Casasano,2020,9,32107.96,0,0,0,32107.96,483.5,0,283.9,32875.36,301.763,1110.7
202010,Central Casasano,2020,10,62664.91,0,0,0,62664.91,741,0,476.9,63882.81,579.017,2333.82
202011,Central Casasano,2020,11,89386.51,0,0,0,89386.51,1181.1,0,962,91529.61,818.994,2720.48
202012,Central Casasano,2020,12,120383.96,0,0,0,120383.96,1699.4,0,1105,123188.36,1115.764,3043.88
202013,Central Casasano,2020,13,154122.49,0,0,0,154122.49,1978.5,0,1105,157205.99,1421.08,4574.26
202015,Central Casasano,2020,15,158549.4,0,0,0,158549.4,1299.7,0,1666.66,161515.76,1425.467,6419.56
202016,Central Casasano,2020,16,188340.73,0,0,0,188340.73,1560.8,0,1666.66,191568.19,1687.882,7584.86
202017,Central Casasano,2020,17,220426.75,0,0,0,220426.75,1713.8,0,2281.6,224422.15,1986.487,8627.56
202018,Central Casasano,2020,18,252029.47,0,0,0,252029.47,2122.3,0,2405.2,256556.97,2275.977,9330.8
202019,Central Casasano,2020,19,282776.59,0,0,0,282776.59,2259.6,0,3465.6,288501.79,2553.887,12194.04
202020,Central Casasano,2020,20,312492.85,0,0,0,312492.85,2325.6,0,3465.6,318284.05,2796.736,13046.16
202021,Central Casasano,2020,21,341497.37,0,0,0,341497.37,3065.6,0,3531.6,348094.57,3050.142,18333.1
202022,Central Casasano,2020,22,372580.71,0,0,0,372580.71,3425.5,0,4936.9,380943.11,3330.054,19764.02
202023,Central Casasano,2020,23,401105.04,0,0,0,401105.04,3678.3,0,5079.7,409863.04,3601.013,23405.22
202024,Central Casasano,2020,24,433810.01,0,0,0,433810.01,3876.9,0,5700.8,443387.71,3905.291,27318.92
202025,Central Casasano,2020,25,464910.35,0,0,0,464910.35,4760.2,0,6892.9,476563.45,4201.895,29599.619
202026,Central Casasano,2020,26,493829.9,0,0,0,493829.9,4887.7,0,7134.7,505852.3,4467.641,30558.979
202027,Central Casasano,2020,27,521641.83,0,0,0,521641.83,4991.7,0,7677.7,534311.23,4739.261,35605.239
202028,Central Casasano,2020,28,549218.07,0,0,0,549218.07,5121.7,0,7888.9,562228.67,5014.975,45754.719
202029,Central Casasano,2020,29,576115.41,0,0,0,576115.41,5520.9,0,7888.9,589525.21,5285.125,47438.519
202030,Central Casasano,2020,30,605178.09,0,0,0,605178.09,6121.5,0,8034.9,619334.49,5568.456,49384.439
202031,Central Casasano,2020,31,632105.02,0,0,0,632105.02,7541.5,0,8556.2,648202.72,5844.542,50101.839
202032,Central Casasano,2020,32,660767.91,0,0,0,660767.91,7645.9,0,8611.4,677025.21,6137.287,50757.719
202033,Central Casasano,2020,33,687025.77,0,0,0,687025.77,7715.9,0,8914.9,703656.57,6412.413,51638.459
202034,Central Casasano,2020,34,714468.67,0,0,0,714468.67,7891.9,0,9093.1,731453.67,6714.016,51649.24
202035,Central Casasano,2020,35,724510.24,0,0,0,724510.24,7891.9,0,9093.1,741495.24,6851.76,51663.58
202036,Central Casasano,2020,36,724510.24,0,0,0,724510.24,7891.9,0,9093.1,741495.24,6851.76,51663.58
202037,Central Casasano,2020,37,724510.24,0,0,0,724510.24,7891.9,0,9093.1,741495.24,6851.76,51663.58
202038,Central Casasano,2020,38,724510.24,0,0,0,724510.24,7891.9,0,9093.1,741495.24,6851.76,51663.58
202039,Central Casasano,2020,39,724510.24,0,0,0,724510.24,7891.9,0,9093.1,741495.24,6851.76,51663.58
202040,Central Casasano,2020,40,724510.24,0,0,0,724510.24,7891.9,0,9093.1,741495.24,6851.76,51663.58
202010,Emiliano Zapata,2020,10,57079.16,6806.19,0,0,63885.35,8618.76,0,0,72504.11,712.974,5550.15
202011,Emiliano Zapata,2020,11,85279.18,10438.81,0,0,95717.99,9570.24,0,0,105288.23,1049.325,9069.02
202012,Emiliano Zapata,2020,12,128988.54,15386.09,0,0,144374.63,10818,0,0,155192.63,1537.086,10838.19
202013,Emiliano Zapata,2020,13,171366.64,20317.07,0,0,191683.71,12214.92,0,0,203898.63,2075.844,15291.71
202015,Emiliano Zapata,2020,15,212862.8,34242.93,0,0,247105.73,12729.84,0,0,259835.57,2595.661,17111.24
202016,Emiliano Zapata,2020,16,254956.72,40488.83,0,0,295445.55,14269.92,0,0,309715.47,3077.501,24623.56
202017,Emiliano Zapata,2020,17,298227.93,44876.15,0,0,343104.08,15589.08,0,0,358693.16,3554.118,33442.53
202018,Emiliano Zapata,2020,18,341714.15,48960.57,0,0,390674.72,16976.28,0,0,407651,4044.596,44075.52
202019,Emiliano Zapata,2020,19,384631.85,54064.15,0,0,438696,18605.16,0,0,457301.16,4545.23,61701.16
202020,Emiliano Zapata,2020,20,428326.66,59533.81,0,0,487860.47,19932.36,0,0,507792.83,5044.674,74706.66
202021,Emiliano Zapata,2020,21,469823.94,64723.88,0,0,534547.82,21451.08,0,0,555998.9,5486.369,83235.56
202022,Emiliano Zapata,2020,22,511011.07,70788.05,0,0,581799.12,22718.16,0,0,604517.28,5948.262,93937.39
202023,Emiliano Zapata,2020,23,551089.99,75721.7,0,0,626811.69,24129.48,0,0,650941.17,6391.505,105655.86
202024,Emiliano Zapata,2020,24,594286.81,79632.52,0,0,673919.33,24984.24,0,0,698903.57,6890.954,120770.48
202025,Emiliano Zapata,2020,25,633923.92,84788.41,0,0,718712.33,25303.32,0,0,744015.65,7363.506,134552.55
202026,Emiliano Zapata,2020,26,671491.53,89699.13,0,0,761190.66,25426.68,0,0,786617.34,7845.942,144887.96
202027,Emiliano Zapata,2020,27,709991.06,93192.78,0,0,803183.84,25426.68,0,0,828610.52,8300.133,148519.29
202028,Emiliano Zapata,2020,28,748065.4,98958.65,0,0,847024.05,25426.68,0,0,872450.73,8788.744,154070.74
202029,Emiliano Zapata,2020,29,787215.2,103235.81,0,0,890451.01,25426.68,0,0,915877.69,9258.797,163206.52
202030,Emiliano Zapata,2020,30,825630.22,106956.84,0,0,932587.06,25426.68,0,0,958013.74,9736.133,165968.42
202031,Emiliano Zapata,2020,31,862796.15,109697.15,0,0,972493.3,25426.68,0,0,997919.98,10196.967,171554.71
202032,Emiliano Zapata,2020,32,900425.82,114027.27,0,0,1014453.09,25426.68,0,0,1039879.77,10686.306,172906.18
202033,Emiliano Zapata,2020,33,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202034,Emiliano Zapata,2020,34,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202035,Emiliano Zapata,2020,35,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202036,Emiliano Zapata,2020,36,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202037,Emiliano Zapata,2020,37,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202038,Emiliano Zapata,2020,38,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202039,Emiliano Zapata,2020,39,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202040,Emiliano Zapata,2020,40,930991.99,117732.47,0,0,1048724.46,25426.68,0,0,1074151.14,11082.072,172906.18
202011,El Refugio,2020,11,24739.3,0,0,0,24739.3,0,2240.13,0,26979.43,0,0
202012,El Refugio,2020,12,42437.98,0,0,0,42437.98,0,7423.07,0,49861.05,718.586,0
202013,El Refugio,2020,13,66746.62,0,0,0,66746.62,0,10016.67,0,76763.29,1163.533,0
202015,El Refugio,2020,15,48068.85,0,0,0,48068.85,0,3585.57,0,51654.42,922.47,0
202016,El Refugio,2020,16,78689.84,0,0,0,78689.84,0,3585.57,0,82275.41,1000.099,0
202017,El Refugio,2020,17,105890.62,0,0,0,105890.62,0,3585.57,0,109476.19,1426.431,0
202018,El Refugio,2020,18,118295.86,0,0,0,118295.86,0,8120.54,0,126416.4,1671.099,0
202019,El Refugio,2020,19,145515.47,0,0,0,145515.47,0,8120.54,0,153636.01,2122.103,0
202020,El Refugio,2020,20,170909.51,0,0,0,170909.51,0,11387.23,0,182296.74,2593.858,0
202021,El Refugio,2020,21,195354.35,0,0,0,195354.35,0,11387.23,0,206741.58,3016.479,0
